Species Name,Common Name,Habit,Soil,Sun,Cultivation Protocols ,Propagation Protocols ,Propagation Methods,Cultivation Requirements Subtotal,Germplasm Source,Conservation Status,Germplasm Origin,Provenance,"Additional Conservation
benefit",Conservation Subtotal,"Additional Local Benefits Description (i.e., to City of Melbourne)",Additional Local Benefits Subtotal,Total Score,Horticultural Potential ,Total Score Including Hort Potential,Weed Rating,Priority species
Pimelea treyvaudii,Grey Rice-flower,Small Shrub less than 1 metre,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Pomaderris subplicata,Concave Pomaderris,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Low Risk,YES
Prostanthera phylicifolia,Spiked Mint-bush,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,12,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Low Risk,NO
Prostanthera walteri,Blotchy Mint-bush,Small Shrub less than 1 metre,Moderately Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,3 - Threatened,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Genotyped Collection",12,N/A,1,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Low Risk,NO
Ptilotus obovatus,Silver Tails,Herbaceous Perennial,"Free Draining, Moderately Draining",Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed,6,4 - Currently held limited propagation material,5 - Critically Endangered,0 - Unsourced,0 - Native to Victoria,0,9,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Low Risk,NO
Pultenaea graveolens,Scented Bush-pea,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,17,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,20,Medium Risk,NO
Sannantha crenulata,Fern-leaf Baeckea,Medium Shrub 1 to 3 metres,Moderately Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,20,5 - Highly ornamental - feature plants,25,Medium Risk,YES
Tetratheca subaphylla,Leafless Pink-bells,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,3 - Not held in collection but easily obtained,3 - Threatened,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,10,N/A,1,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Thryptomene calycina,Grampians Thryptomene,Medium Shrub 1 to 3 metres,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Medium Risk,NO
Westringia cremnophila,Snowy River Westringia,Small Shrub less than 1 metre,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",13,Good Story,1,20,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,23,Low Risk,YES
Westringia senifolia,Alpine Westringia,Small Shrub less than 1 metre,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",14,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,YES
Kelleria bogongensis,Snow Daphne,Small Shrub less than 1 metre,Moderately Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,5,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,17,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,20,Low Risk,NO
Spyridium furculentum,Forked Spyridium,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Cladium procerum,Tall Twig-sedge,Grass or Grasslike,"Moderately Draining, Heavy","Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed,6,3 - Not held in collection but easily obtained,4 - Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,9,"Culturally Important to Traditional owners / and or local community, Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",2,17,"2 - Plant with limited ornamental attributes, (form/flowers/fruit etc.) - Limited display potential",19,*High Risk,NO
Dianella amoena,Matted Flax-lily,Grass or Grasslike,Moderately Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,2 - Indigenous to City of Melbourne,1 - Genotyped Collection,16,Culturally Important to Traditional owners / and or local community,1,24,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,27,Low Risk,YES
Eucalyptus leucoxylon subsp. connata,Melbourne Yellow Gum,Medium Tree 10 to 20 metres,"Free Draining, Moderately Draining",Full Sun,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed,8,5 - Currently held in collection,4 - Endangered,3 - Wild,2 - Indigenous to City of Melbourne,0,14,Culturally Important to Traditional owners / and or local community,1,23,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,27,Low Risk,YES
Malva preissiana,Australian Hollyhock,Small Shrub less than 1 metre,Free Draining,Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,2* = Not held in collection moderately difficult to collect,4 - Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,1 - Bushfire Recovery,8,Culturally Important to Traditional owners / and or local community,2,13,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,16,Medium Risk,NO
Pimelea spinescens subsp. spinescens,Spiny Rice-flower,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,2 - Indigenous to City of Melbourne,0,14,"Culturally Important to Traditional owners / and or local community, Good Story",1,21,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,24,Low Risk,YES
Poa billardierei,Coast Fescue,Grass or Grasslike,Free Draining,Full Sun,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed/Division,8,3 - Not held in collection but easily obtained,4 - Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,9,Culturally Important to Traditional owners / and or local community,1,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Medium Risk,NO
Podolepis linearifolia,Basalt Podolepis,Herbaceous Perennial,Moderately Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,2 - Indigenous to City of Melbourne,0,14,Culturally Important to Traditional owners / and or local community,1,21,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,25,Low Risk,YES
Rutidosis leptorhynchoides,Button Wrinklewort,Herbaceous Perennial,Moderately Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,2 - Indigenous to City of Melbourne,0,14,"Culturally Important to Traditional owners / and or local community, Good Story",2,23,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,27,Low Risk,YES
Senecio macrocarpus,Large-headed Groundsel,Herbaceous Perennial,"Moderately Draining, Heavy",Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,11,Culturally Important to Traditional owners / and or local community,1,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Medium Risk,NO
Acacia stictophylla,Dandenong Wattle,Large Shrub above 3 metres,"Free Draining, Moderately Draining","Part Shade, Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,N/A,0,19,5 - Highly ornamental - feature plants,24,Medium Risk,NO
Beyeria lanceolata,Pinkwood,Large Shrub above 3 metres,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,1 - Bushfire Recovery,14,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,YES
Craspedia canens,Grey Billy-buttons,Herbaceous Perennial,Moderately Draining,"Full Sun, Part Shade",5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed,8,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,14,N/A,0,22,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,26,Low Risk,YES
Grevillea infecunda,Anglesea Grevillea,Small Shrub less than 1 metre,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Low Risk,NO
Lachnagrostis adamsonii,Adamson's Blown Grass,Grass or Grasslike,"Moderately Draining, Heavy",Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,1 - Genotyped Collection,14,N/A,0,20,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,23,*High Risk,NO
Microseris scapigera.,Yam Daisy,Herbaceous Perennial,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed,6,2* = Not held in collection moderately difficult to collect,5 - Critically Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,11,Culturally Important to Traditional Owners / and or local community,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Olearia asterotricha subsp. lobata,Rough Daisy-Bush,Small Shrub less than 1 metre,Free Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,13,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Low Risk,YES
Platylobium infecundum,Famine Flat-pea,Small Shrub less than 1 metre,"Free Draining, Moderately Draining",Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,3 - Not held in collection but easily obtained,5 - Critically Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Pomaderris vacciniifolia,Round-leaf Pomaderris,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Cuttings,8,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,14,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,23,5 - Highly ornamental - feature plants,28,Medium Risk,YES
Rhagodia parabolica,Fragrant Saltbush,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Full Sun,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Cuttings,8,5 - Currently held in collection,2 - Vulnerable,3 - Wild,1 - Indigenous to Greater Melbourne,0,11,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Acacia caerulescens,Limestone Blue Wattle,Small Tree less than 10 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Alectryon subcinereus,Native Quince,Large Shrub above 3 metres,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade, Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,N/A,0,20,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,23,Medium Risk,YES
Aphanopetalum resinosum,Gum Vine,Climber,Free Draining,Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,21,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,25,Low Risk,YES
Astrotricha sp. 1 subsp. 1,Grampians Star-hair,Small Shrub less than 1 metre,Free Draining,Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,2 - Can be propagated - but requires significant time/effort,Cuttings,4,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,16,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,19,Low Risk,NO
Austrostipa nivicola,Alpine Spear-grass,Grass or Grasslike,Moderately Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Baeckea linifolia,Swamp Baeckea,Medium Shrub 1 to 3 metres,"Moderately Draining, Heavy",Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,20,5 - Highly ornamental - feature plants,25,Low Risk,YES
Banksia saxicola,Rock Banksia,Large Shrub more than 3 metres to Medium Tree 10 to 20 metres,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Genotyped Collection,13,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Bertya grampiana,Grampians Bertya,Medium Shrub 1 to 3 metres,Moderately Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Boronia galbraithiae,Aniseed Boronia,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,2* = Not held in collection moderately difficult to collect,4 - Endangered,3 - Wild,0 - Native to Victoria,1 -Genotyped Collection,9,N/A,0,14,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,18,Low Risk,NO
Callistemon nyallingensis,Boggy Creek Bottlebrush,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,4 - Currently held limited propagation material,5 - Critically Endangered,0 - Unsourced,0 - Native to Victoria,0,9,N/A,0,16,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,19,Medium Risk,NO
Callistemon subulatus,Dwarf Bottlebrush,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed/Cuttings,8,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,Suited to Green infrastructure Projects (Rain Gardens),1,22,5 - Highly ornamental - feature plants,27,Medium Risk,YES
Calostemma luteum,Yellow Garland-lily,Annual,"Free Draining, Moderately Draining",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Calostemma purpureum,Garland Lily,Annual,"Free Draining, Moderately Draining",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Low Risk,YES
Cassinia monticola,Mountain Cassinia,Herbaceous Perennial,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,16,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,19,Medium Risk,NO
Commersonia prostrata,Dwarf Kerrawang,Prostrate,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Division,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",13,N/A,2,21,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,25,Low Risk,YES
Corymbia maculata,Spotted Gum,Large Tree above 20 metres,"Free Draining, Moderately Draining",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,17,5 - Highly ornamental - feature plants,22,Medium Risk,NO
Cyanothamnus anemonifolius subsp. aurifodinus,Goldfield Boronia,Medium Shrub 1 to 3 metres,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Medium Risk,NO
Daviesia laevis,Grampians Bitter-pea,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Daviesia pectinata,Thorny Bitter-pea,Small Shrub less than 1 metre to Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Dodonaea rhombifolia,Broad-leaf Hop-bush,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Eremophila bignoniiflora,Bignonia Emu-bush,Large Shrub above 3 metres,"Moderately Draining, Heavy",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Low Risk,NO
Eremophila gibbifolia,Coccid Emu-bush,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,2 - Vulnerable,0 - Unsourced,0 - Native to Victoria,0,7,N/A,0,13,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,16,Medium Risk,NO
Eucalyptus froggattii,Kamarooka Mallee,Small Tree less than 10 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,YES
Eucalyptus polybractea,Blue Mallee,Small Tree less than 10 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Low Risk,YES
Eucalyptus saxatilis,Rock Mallee,Small Tree less than 10 metres to Medium Tree 10 to 20 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Medium Risk,NO
